이름,위도,경도,종류,이미지주소,설명
용암산,37.7322805943997,127.140046332149,자연관광지,,용암봉이라고도 하며 산에 바위가 많고 산의 형세가 용처럼 생겼다거나 용처럼 생긴 바위가 있어 붙은 이름으로 전한다. 용암산 정상부에 물푸레나무가 서식하고 있어 물푸레봉이라고 부르기도 한다. 1996년 남양주시지명위원회가 옛 지명을 바로잡는다는 취지에서 관내 산봉우리 5곳의 이름을 고치고자 하였으며 용암산도 ‘물푸레봉’으로 변경할 것을 의결하였다. 그러나 현재까지도 용암산으로 불리고 있다. 한편 남양주시 별내면 용암리에는 ‘용암산’이라는 동일한 명칭의 산이 별도로 존재한다.
천마산,37.6579103478731,127.300352454876,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P00637&t=middle,고려 후기 이성계가 사냥을 왔다가 “산이 매우 높아 푸른 하늘이 홀(笏)에 꽂힌 것 같으니 손이 석 자만 더 길었어도 하늘을 만질 수 있겠다.”라고 한 데서 유래하였다고 한다. 하지만 천마산이 조선 시대 고문헌에서는 ‘만질 마(摩)’ 대신 ‘삼 마(麻)’나 ‘말 마(馬)’로 표기되기도 하였다. 천마산 인근에서는 ‘말티고개’ ‘마치고개[馬峙]’ ‘맷돌모루[磨石隅里]’라는 지명도 발견된다. 이로 미루어 천마산의 ‘마’는 단순히 만진다는 의미보다는 산꼭대기 산머리를 의미하는 ‘마리’를 음차한 데서 유래하였다고 추정된다.
수락산,37.7002465445,127.1029045433,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P00449&t=middle,인근에 수락산역이 있어 접근하기가 편리하고 산길도 험하지 않아 휴일이면 많은 사람들이 찾는다. 수락산의 전경을 감상할 수 있는 등산 코스로는 경기도 남양주시 별내면 청학리에서 올라가는 코스를 포함하여 총 4개의 코스가 조성되어 있다.
문안산,37.6353200223398,127.349141031048,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P00902,산세가 험하지 않아 가족 등산로로 이용된다. 제1금남교에서 출발하여 정상을 지나 조안면 삼봉리로 내려오는 코스가 있으며 짧게는 중간의 화도읍 백월리로 내려올 수도 있다.
산들소리 수목원,37.6510762965,127.101550237,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P03178,총면적 12㏊에 15개 테마 정원이 조성되어 있다. 생태온실 초화정원 농촌교육농장 불암산 암석원 기념정원 허브원 4대나무 정원 자연암석원 습지원 탄생원 등이 대표적이다. 다양한 테마정원에 총 1200종의 식물을 보유하고 있다. 어린이를 위한 공간으로 ‘신기한물건박물관’이 운영되고 있다. 그 밖에도 뗏목 타기 체험이 가능한 뗏목나루 동물 먹이 주기를 체험할 수 있는 동물농장 등 어린이의 숲 체험을 위한 시설이 많다. 시소 말 등이 모두 나무로만 제작된 수레놀이터는 어린이에게 가장 호응도가 높은 공간이다. 이 외에도 식사 및 다과를 판매하는 산들소리카페 산들제빵소 풀향기식당과 허브 제품을 판매하는 허브숍이 운영되고 있다.
물의 정원,37.5575094633,127.3132181686,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01490&t=middle,인근의 주민들은 산책로를 따라 조깅하고 자전거 도로를 따라 자전거를 타기 위하여 동네 공원으로서 물의 정원을 방문한다. 외부인들에게는 별도의 시간을 들여 데이트하기 위한 관광지이기도 하다. 물의 정원은 연중무휴로 이용 가능하고 입장료는 무료이며 반려동물을 동반할 수 있다.
비금계곡,37.7571165112509,127.283531439174,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P00086,수동국민관광지 안에 있어 여름철 피서지로 널리 알려져 있으며 지역 주민과 관광객이 많이 방문하는 곳이다. 인근에 있는 비금마을에서는 남양주의 특산물 중 하나인 고로쇠 수액을 맛볼 수 있으며 시루봉 등반도 가능하다.
축령산자연휴양림,37.7547771162,127.3132455526,자연관광지,https://lh5.googleusercontent.com/p/AF1QipNfA0MQy0afV8SWEf2MUj91IW2D-Mwk3j2cwqsy=w408-h327-k-no,779㏊에 자연을 즐길 수 있는 물놀이장 산내음둘레길[1코스 2코스]과 함께 숙박할 수 있는 공간이 어우러져 있다. 숙박 시설로는 숲속의집 산림휴양관 축령관이 배치되어 있고 야영이 가능한 공간으로 1~4구역의 야영 데크가 운영된다.
물맑음수목원,37.70576957,127.2956028276,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01486,총면적 11㏊에 20개의 전시원이 마련되어 있다. 목재문화체험장 유아숲체험원 사계정원 방향식물원 허브식물원 물맑음놀이터 비비추원 선태식물원 화계정원 치유숲 희귀식물원 암석원 증식온실 전시온실 무공해채소원 숲속쉼터[1 2]가 전시원의 주요 공간이며 1년 후에 전달되는 느린우체통 300년 된 음나무인 소원나무 등도 방문객들에게 인기 있는 장소이다.
오남호수공원,37.6939075668,127.225336941,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01040&t=middle,산책로는 3.13㎞이며 크게 휴게 광장 포토존 휴게 쉼터 A B 목재 교량 산책로 A B C로 나뉘어 있다. 화장실은 호수공원 내에 2곳이 있다. 화장실 개방 시간은 오전 6시부터 오후 10시까지이다. 공원에는 미니 도서관이 있으며 남양주풍양보건소에서 설치한 기피제통에는 쯔쯔가무시병을 예방하기 위한 진드기 기피제가 들어 있다. 산책 후에는 신발에 묻은 흙먼지를 털 수 있는 에어건이 설치되어 있다. 운동 기구가 곳곳에 설치되어 있고 공연 관람 시설도 설치되어 있어 작은 공연이 열리기도 한다.
다산길,37.5939325401,127.1855663465,자연관광지,https://lh5.googleusercontent.com/p/AF1QipN1OLLKKDp11LZeRtpHG0IYouR6YI2sfvdUMpCB=w426-h240-k-no,당호 변을 경유하는 산길과 숲길 시골마을길로 구성되어 있다. 다산길이 지나는 경로에는 2009년에 조성되어 연꽃밭을 구경할 수 있는 연꽃체험마을 정약종 가족의 순교를 기념하여 조성된 마재성지 황포돛배를 설치하여 조선 시대 포구의 모습을 재현한 팔당호의 옛 나루터 정약용의 생가와 묘 문화관 등으로 구성된 정약용유적지 2012년에 개관한 경기도 실학박물관과 다산생태공원 등이 있다.
철마산,37.7263004861766,127.189886481276,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01001&t=middle,등마루에 철로 만든 말[鐵馬]이 있던 데서 유래한 지명이다. 철마산 아래에 있는 마재마을[馬峴]에서는 철마에게 콩과 보리를 삶아 제사를 지냈다고 한다. 조선 후기 학자 정약용(丁若鏞)의 『여유당전서(與猶堂全書)』「철마변(鐵馬辨)」에 따르면 철마는 임진왜란 때 풍수학에 능통한 왜인이 들렀다가 산천의 정기를 누르기 위하여 두고 간 것이라는 설이 있었다. 그러나 정약용은 왜인이 두고 간 것이라면 마을 사람들이 정성을 다해 제사를 지낼 이유가 없으므로 왜인설은 적절하지 않다고 보았다.
운길산,37.5711477923,127.3026412617,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01316&t=middle,강원도 금강산에서 발원하여 371㎞를 흘러온 북한강관련항목 보기에 인접해 있다. 대덕산에서 발원해 흘러온 남한강이 서로 만나는 경기도 양평군 양서면 양수리에 있는 두물머리도 조망이 가능하다.
수동국민관광지,37.7471523394,127.2813198723,자연관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P02193&t=middle,여름철 피서지로 주로 이용되었으며 1983년에 국민관광지로 지정된 후 지속적인 관리를 받고 있다. 또한 수동국민관광지는 면적 22만 4800㎡에 휴게소 식당 상가 등의 편의시설과 몽골문화촌 비금계곡 수동계곡 등으로 구성되어 있다. 식당과 상가는 주로 수동국민관광지 인근에 있는 서리산 주금산 천마산의 특산물인 산나물과 토종꿀 밤 잣 등을 판매하고 있다.
실학박물관,37.5160172754,127.300602572,명소,https://www.grandculture.net/Image?localName=namyangju&id=GC089P02252&t=middle,‘실학(實學)’을 주제로 한 박물관으로 실학 관련 유물과 자료를 수집하고 보존하며 연구하고 전시하는 곳이다. 조선 후기의 대표적 실학자들에 대한 유물과 자료는 상설전시실[2층]에서 만날 수 있고 반기마다 특별히 기획된 전시는 기획전시실[1층]에서 관람할 수 있다. 기타 다양한 교육과 이벤트를 진행하고 있다.‘실학’은 조선 후기의 개혁적·실천적 학풍을 가리키며 ‘실학자’들은 실용적 지식에 관심이 있었고 실사구시를 추구하였을 뿐만 아니라 공동체의 문제를 고민하였고 일상의 삶에 주목하여 민생에 실제적인 도움이 되는 방안을 찾았다. 대표적인 실학자로는 김육(金堉) 유형원(柳馨遠) 이익(李瀷) 이중환(李重煥) 안정복(安鼎福) 채제공(蔡濟恭) 홍대용(洪大容) 권철신(權哲身) 박지원(朴趾源) 이덕무(李德懋) 이가환(李家煥) 유득공(柳得恭) 박제가(朴齊家) 정약용(丁若鏞) 서유구(徐有榘) 최한기(徐有榘) 김정호(金正浩) 이제마(李濟馬) 등이 있다. 이 중에서 정약용은 실학의 집대성자로 알려져 있으며 실학박물관이 있는 곳 바로 옆에 생가[여유당]와 묘소가 있다.
수종사,37.5711477923,127.3026412617,명소,https://www.grandculture.net/Image?localName=namyangju&id=GC089P02205&t=middle,일주문과 불이문을 지나 경내로 들어갈 수 있다. 대웅전 옆에는 보물인 남양주 수종사 팔각오층석탑 남양주 수종사 사리탑이 삼층석탑과 나란히 있다. 또한 경내 풍경이 좋은 위치에 범종각이 있으며 그 뒤편에 조선 초에 심어진 은행나무가 웅장한 자태로 서있다. 삼정헌에서는 방문객이 차를 마실 수 있다. 한편 수종사는 남양주의 대표적인 해맞이 장소로도 유명하다.
축령산자연휴양림,37.7547771162,127.3132455526,명소,https://lh5.googleusercontent.com/p/AF1QipNfA0MQy0afV8SWEf2MUj91IW2D-Mwk3j2cwqsy=w408-h327-k-no,779㏊에 자연을 즐길 수 있는 물놀이장 산내음둘레길[1코스 2코스]과 함께 숙박할 수 있는 공간이 어우러져 있다. 숙박 시설로는 숲속의집 산림휴양관 축령관이 배치되어 있고 야영이 가능한 공간으로 1~4구역의 야영 데크가 운영된다.
주필거미박물관,37.5671283461,127.2824618647,체험관광지,https://www.grandculture.net/Image?localName=namyangju&id=GC089P01308&t=middle,본관 1층은 국내외에서 확인하기 어려운 거미의 표본과 화석이 전시되어 있으며 본관 2층에는 세계 각국에 분포하는 나비와 나방 및 각종 곤충의 표본이 있다. 별관 1층에는 희귀 광물들이 전시되어 있고 별관 2층에는 거미의 구조를 직접 관찰할 수 있는 현미경 관찰실이 있다. 별관 2층에는 조개류가 전시되어 있다.
고로쇠마을,37.7639797602,127.2818298239,체험관광지,,여기에서 생산되는 고로쇠 수액은 고로쇠마을 수동 작목반에서 직접 채취하여 판매하고 있으며 수동농협에서도 위탁 판매를 하고 있다. 2021년 3월 2일 남양주시 특산물 재정비 공고에서 특산물로 선정되었다.
진접농협 로컬푸드직매장,37.7112459531024,127.186171542711,시장 및 마트,,진접 농업인이 생산한 농산물을 수확 포장 가격결정 직매장 내 진열 재고관리 등을 직접 수행하여 농협 매장을 통해 판매하는 직거래 방식의 농식품 판매장이다.
와부농협 로컬푸드직매장,37.5941262334003,127.22494771985,시장 및 마트,,와부 농업인이 생산한 농산물을 수확 포장 가격결정 직매장 내 진열 재고관리 등을 직접 수행하여 농협 매장을 통해 판매하는 직거래 방식의 농식품 판매장이다.
진접장현장,37.7176159370173,127.180891133907,시장 및 마트,https://www.grandculture.net/Image?localName=namyangju&id=GC089P00189&t=middle,장현로와 장현천로를 기준으로 건너편에 위치해 있으며 장현4리마을회관을 사이에 두고 인접해 있다. 두 시장 모두 농수산물부터 잡화물까지 다양한 상품을 판매하고 있다. 또한 장현전통시장은 총 147개의 점포를 보유하고 있으며 면적은 1만 7832㎡이다. 장현오일장의 면적은 1063㎡이다. 그런데 2000년에 편찬된 『남양주시지』에 따르면 장현오일장이 1623㎡으로 조사되어 있다. 약 20년 동안 600㎡ 가량이 축소되었던 것이다.
(주)이마트 다산점,37.6082044738715,127.157753794985,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipObf7ZjmduC-0NsjZiA2Ga_V6AK4-DGRE5Z-ScJ=w408-h306-k-no,국내 최대 규모의 물류센터와 신선식품 전용 후레쉬센터 미트센터 등을 운영하며 늘 새로움을 이끄는유통기업으로 자리매김 했으며 최근에는 셀프 계산대 스캔&고 자율주행 배송차량 '일라이고' 등 리테일테크를 접목한유통혁신을 주도하고 있다.
(주)이마트 남양주점,37.6550474690268,127.243052906438,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipMDUMGVm8_-nRPBhhTtZKfVohV-tfGWo9GjfduF=w408-h725-k-no,국내 최대 규모의 물류센터와 신선식품 전용 후레쉬센터 미트센터 등을 운영하며 늘 새로움을 이끄는유통기업으로 자리매김 했으며 최근에는 셀프 계산대 스캔&고 자율주행 배송차량 '일라이고' 등 리테일테크를 접목한유통혁신을 주도하고 있다.
홈플러스(주)남양주진접점,37.7217474135421,127.188606644806,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipMj7qlBmW5471Ot73KaNCkz30WkDGknzqiEipvU=w408-h306-k-no,단순한 쇼핑을 넘어서 우리 모두의 삶에 플러스가 되는 회사가 되는 것이 꿈인 회사.
이마트 별내점,37.6428100149332,127.125967996663,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipPRJKQgL-9XFQZp5XwmXMh943FYpoQfKu7l-IDo=w408-h306-k-no,국내 최대 규모의 물류센터와 신선식품 전용 후레쉬센터 미트센터 등을 운영하며 늘 새로움을 이끄는유통기업으로 자리매김 했으며 최근에는 셀프 계산대 스캔&고 자율주행 배송차량 '일라이고' 등 리테일테크를 접목한유통혁신을 주도하고 있다.
주식회사 이마트 진접점,37.7088311438273,127.182031057054,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipND3t3q6Gqg1yoft9w-lc052DcEI5BUUIJICzi1=w426-h240-k-no,국내 최대 규모의 물류센터와 신선식품 전용 후레쉬센터 미트센터 등을 운영하며 늘 새로움을 이끄는유통기업으로 자리매김 했으며 최근에는 셀프 계산대 스캔&고 자율주행 배송차량 '일라이고' 등 리테일테크를 접목한유통혁신을 주도하고 있다.
한성몰 남양주점,37.6565355738538,127.281640380486,시장 및 마트,https://lh5.googleusercontent.com/p/AF1QipNjdOWdNtjS0OScLsPGvewWzQiv1_T-W7nr7NHJ=w408-h544-k-no,국내 대표 라이프스타일 패션 종합 기업으로 시시각각 변하는 글로벌 트렌드를 충실히 따르면서 동시에 높은 수준의 제품 생산에 집중하며 창립 이후 업계 최고의 자리를 놓치지 않고 있다.
